city_name,avg_comfort_index,recommended_activity,tourist_season_match,tourism_season,tour_recommendation,as_of_date
Новосибирск,-6.58,домашний отдых,нет,май-август,домашний отдых вне сезона,2025-10-07 13:42
Москва,-1.12,домашний отдых,нет,май-август,домашний отдых вне сезона,2025-10-07 13:42
Санкт-Петербург,7.37,домашний отдых,нет,май-август,домашний отдых вне сезона,2025-10-07 13:42
Казань,12.54,домашний отдых,нет,май-август,домашний отдых вне сезона,2025-10-07 13:42
Сочи,16.5,активный туризм,нет,май-август,активный туризм вне сезона,2025-10-07 13:42
Новосибирск,-6.61,домашний отдых,нет,май-август,домашний отдых вне сезона,2025-10-07 14:00
Москва,-1.16,домашний отдых,нет,май-август,домашний отдых вне сезона,2025-10-07 14:00
Санкт-Петербург,7.29,домашний отдых,нет,май-август,домашний отдых вне сезона,2025-10-07 14:00
Казань,12.56,культурный туризм,нет,май-август,культурный туризм вне сезона,2025-10-07 14:00
Сочи,16.42,активный туризм,нет,май-август,активный туризм вне сезона,2025-10-07 14:00
