city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Москва,5,5,71,764,0.78,пасмурно,10000,,100,3,6,23.10.2025 03:06:39,2025-10-23T03:06:39.636681
Новосибирск,3,0,81,777,3.0,ясно,10000,,0,3,3,23.10.2025 11:19:52,2025-10-23T11:19:52.962882
Санкт-Петербург,4,2,84,757,3.0,пасмурно,10000,,100,4,4,23.10.2025 04:27:23,2025-10-23T04:27:23.753427
Санкт-Петербург,4,2,84,757,3.0,пасмурно,10000,,100,4,5,23.10.2025 03:06:39,2025-10-23T03:06:39.636681
Сочи,19,19,68,762,3.89,пасмурно,10000,,100,19,19,23.10.2025 11:19:52,2025-10-23T11:19:52.962882
Казань,5,3,92,764,2.35,пасмурно,10000,,100,5,5,23.10.2025 04:27:23,2025-10-23T04:27:23.753427
Новосибирск,2,-2,80,777,3.0,ясно,10000,,0,2,2,23.10.2025 06:34:52,2025-10-23T06:34:52.373981
Сочи,16,15,65,763,2.19,пасмурно,10000,,100,16,16,23.10.2025 06:34:52,2025-10-23T06:34:52.373981
Сочи,16,16,80,762,2.59,пасмурно,10000,,100,16,16,23.10.2025 10:26:01,2025-10-23T10:26:01.938495
Санкт-Петербург,4,1,84,756,4.0,пасмурно,10000,,100,3,4,23.10.2025 05:23:02,2025-10-23T05:23:02.453729
Казань,6,5,83,763,1.73,небольшой дождь,10000,,100,6,6,23.10.2025 10:26:01,2025-10-23T10:26:01.938495
Санкт-Петербург,5,1,82,755,5.0,облачно с прояснениями,10000,,75,5,5,23.10.2025 07:23:22,2025-10-23T07:23:22.935534
Сочи,16,15,61,762,5.11,пасмурно,10000,,100,16,16,23.10.2025 05:23:02,2025-10-23T05:23:02.453729
Сочи,14,13,67,762,5.27,пасмурно,10000,,100,14,14,23.10.2025 04:27:23,2025-10-23T04:27:23.753427
Санкт-Петербург,6,3,80,755,4.0,переменная облачность,10000,,40,6,6,23.10.2025 09:26:35,2025-10-23T09:26:35.034467
Казань,6,5,86,763,1.89,пасмурно,10000,,100,6,6,23.10.2025 08:32:25,2025-10-23T08:32:25.522017
Сочи,17,16,64,762,2.19,пасмурно,10000,,100,17,17,23.10.2025 07:23:22,2025-10-23T07:23:22.935534
Казань,5,3,93,764,2.61,небольшой дождь,10000,,100,5,5,23.10.2025 07:23:22,2025-10-23T07:23:22.935534
Москва,5,5,69,764,0.59,пасмурно,10000,,100,3,5,23.10.2025 05:23:02,2025-10-23T05:23:02.453729
Санкт-Петербург,5,2,83,758,4.0,пасмурно,10000,,100,5,5,23.10.2025 01:48:01,2025-10-23T01:48:01.106109
Казань,5,3,91,764,2.61,небольшой дождь,10000,,100,5,5,23.10.2025 06:34:52,2025-10-23T06:34:52.373981
Москва,9,8,65,764,1.8,пасмурно,10000,,100,6,9,23.10.2025 08:32:25,2025-10-23T08:32:25.522017
Казань,6,5,86,763,1.89,пасмурно,10000,,100,6,6,23.10.2025 09:26:35,2025-10-23T09:26:35.034467
Сочи,15,15,83,763,2.78,пасмурно,10000,,100,15,15,23.10.2025 09:26:35,2025-10-23T09:26:35.034467
