city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,comfort_index,recommended_activity,tourism_season,tourist_season_match
Сочи,21,21,68,756,0.93,ясно,10000,,0,21,21,07.10.2025 14:29:29,2025-10-07T14:29:29.145966,Южный федеральный округ,14.71,культурный туризм,май-август,нет
Новосибирск,0,-5,74,772,5.0,пасмурно,10000,,100,0,0,07.10.2025 07:22:41,2025-10-07T07:22:41.695580,Сибирский федеральный округ,-5.3,домашний отдых,май-август,нет
Москва,12,12,82,767,0.42,пасмурно,10000,,100,12,12,07.10.2025 12:24:41,2025-10-07T12:24:41.243096,Центральный федеральный округ,-1.64,домашний отдых,май-август,нет
Казань,12,11,52,768,2.21,небольшая облачность,10000,,13,12,12,07.10.2025 13:59:55,2025-10-07T13:59:55.241161,Приволжский федеральный округ,12.88,культурный туризм,май-август,нет
Новосибирск,-1,-4,80,774,2.0,пасмурно,10000,,100,-1,-1,07.10.2025 14:47:25,2025-10-07T14:47:25.877991,Сибирский федеральный округ,-6.6,домашний отдых,май-август,нет
Новосибирск,-1,-4,83,774,2.0,пасмурно,10000,,100,-1,-1,07.10.2025 14:29:29,2025-10-07T14:29:29.145966,Сибирский федеральный округ,-7.2,домашний отдых,май-август,нет
Москва,12,12,82,767,0.39,пасмурно,10000,,100,12,12,07.10.2025 14:29:29,2025-10-07T14:29:29.145966,Центральный федеральный округ,-1.64,домашний отдых,май-август,нет
Казань,12,11,51,768,2.21,небольшая облачность,10000,,13,12,12,07.10.2025 14:21:40,2025-10-07T14:21:40.240062,Приволжский федеральный округ,13.08,культурный туризм,май-август,нет
Москва,12,12,84,767,0.39,пасмурно,10000,,100,12,12,07.10.2025 13:59:55,2025-10-07T13:59:55.241161,Центральный федеральный округ,-2.04,домашний отдых,май-август,нет
Санкт-Петербург,11,10,69,765,0.92,переменная облачность,10000,,48,11,11,07.10.2025 14:17:10,2025-10-07T14:17:10.625764,Северо-Западный федеральный округ,5.71,домашний отдых,май-август,нет
Казань,13,12,51,768,2.21,небольшая облачность,10000,,13,13,13,07.10.2025 14:09:20,2025-10-07T14:09:20.695695,Приволжский федеральный округ,13.48,культурный туризм,май-август,нет
Москва,13,12,76,767,0.42,пасмурно,10000,,100,11,13,07.10.2025 12:06:15,2025-10-07T12:06:15.021646,Центральный федеральный округ,-0.04,домашний отдых,май-август,нет
Санкт-Петербург,15,14,71,765,1.0,ясно,10000,,0,15,15,07.10.2025 14:09:20,2025-10-07T14:09:20.695695,Северо-Западный федеральный округ,11.7,культурный туризм,май-август,нет
Казань,9,8,69,769,2.39,ясно,10000,,9,9,9,07.10.2025 17:28:59,2025-10-07T17:28:59.164613,Приволжский федеральный округ,8.66,домашний отдых,май-август,нет
Санкт-Петербург,11,10,80,765,1.85,пасмурно,10000,,87,11,11,07.10.2025 07:30:55,2025-10-07T07:30:55.629433,Северо-Западный федеральный округ,-0.48,домашний отдых,май-август,нет
Сочи,19,19,79,755,3.11,ясно,10000,,0,19,19,07.10.2025 17:28:59,2025-10-07T17:28:59.164613,Южный федеральный округ,11.49,культурный туризм,май-август,нет
Новосибирск,-1,-4,80,774,2.0,пасмурно,10000,,100,-1,-1,07.10.2025 13:38:06,2025-10-07T13:38:06.811789,Сибирский федеральный округ,-6.6,домашний отдых,май-август,нет
Москва,13,12,75,767,0.7,пасмурно,10000,,100,11,13,07.10.2025 14:47:25,2025-10-07T14:47:25.877991,Центральный федеральный округ,0.13,домашний отдых,май-август,нет
Санкт-Петербург,14,13,64,765,2.16,облачно с прояснениями,10000,,63,14,14,07.10.2025 12:24:41,2025-10-07T12:24:41.243096,Северо-Западный федеральный округ,6.28,домашний отдых,май-август,нет
Сочи,22,22,70,756,1.78,ясно,10000,,0,22,22,07.10.2025 14:38:32,2025-10-07T14:38:32.132057,Южный федеральный округ,14.62,культурный туризм,май-август,нет
