city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Сочи,8,6,66,767,2.7,ясно,10000.0,,7,8,8,27.11.2025 01:52:06,2025-11-27T01:52:06.122279,Южный,Май-Октябрь,UTC+3,400000,9.03,домашний отдых,нет
Казань,1,-1,99,770,2.25,пасмурно,32.0,,100,1,1,27.11.2025 05:25:33,2025-11-27T05:25:33.121914,Приволжский,Май-Сентябрь,UTC+3,1250000,-9.63,домашний отдых,нет
Сочи,7,5,76,766,2.72,ясно,10000.0,,4,7,7,27.11.2025 03:15:08,2025-11-27T03:15:08.481072,Южный,Май-Октябрь,UTC+3,400000,6.93,домашний отдых,нет
Санкт-Петербург,-5,-5,93,761,1.0,плотный туман,3500.0,,100,-5,-5,27.11.2025 05:25:33,2025-11-27T05:25:33.121914,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-10.7,домашний отдых,нет
Сочи,7,5,68,767,2.6,ясно,10000.0,,3,7,7,27.11.2025 04:30:02,2025-11-27T04:30:02.917915,Южный,Май-Октябрь,UTC+3,400000,8.64,домашний отдых,нет
Новосибирск,0,-5,86,757,4.0,облачно с прояснениями,10000.0,,75,0,0,27.11.2025 03:15:08,2025-11-27T03:15:08.481072,Сибирский,Июнь-Август,UTC+7,1620000,-5.1,домашний отдых,нет
Санкт-Петербург,-5,-5,86,763,1.0,плотный туман,150.0,,100,-5,-5,27.11.2025 04:30:02,2025-11-27T04:30:02.917915,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-9.3,домашний отдых,нет
Москва,2,0,87,764,2.48,пасмурно,10000.0,,100,2,4,27.11.2025 04:30:02,2025-11-27T04:30:02.917915,Центральный,Круглогодично,UTC+3,12500000,-6.85,домашний отдых,да
Москва,4,2,70,764,2.23,пасмурно,10000.0,,100,4,4,27.11.2025 01:52:06,2025-11-27T01:52:06.122279,Центральный,Круглогодично,UTC+3,12500000,-2.62,домашний отдых,да
Казань,1,-1,99,770,1.88,небольшой снег,,,100,1,1,27.11.2025 03:15:08,2025-11-27T03:15:08.481072,Приволжский,Май-Сентябрь,UTC+3,1250000,-9.59,домашний отдых,нет
Санкт-Петербург,-7,-7,93,764,0.0,плотный туман,250.0,,100,-7,-7,27.11.2025 01:52:06,2025-11-27T01:52:06.122279,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-11.4,домашний отдых,нет
Сочи,8,6,70,767,2.6,ясно,10000.0,,3,8,8,27.11.2025 05:25:33,2025-11-27T05:25:33.121914,Южный,Май-Октябрь,UTC+3,400000,8.64,домашний отдых,нет
Новосибирск,0,-5,93,756,4.0,небольшой снегопад,7000.0,,100,0,0,27.11.2025 04:30:02,2025-11-27T04:30:02.917915,Сибирский,Июнь-Август,UTC+7,1620000,-9.0,домашний отдых,нет
Новосибирск,0,-5,100,756,4.0,небольшой снегопад,2100.0,,100,0,0,27.11.2025 05:25:33,2025-11-27T05:25:33.121914,Сибирский,Июнь-Август,UTC+7,1620000,-10.4,домашний отдых,нет
Новосибирск,0,-5,86,757,5.0,ясно,10000.0,,0,0,0,27.11.2025 01:52:06,2025-11-27T01:52:06.122279,Сибирский,Июнь-Август,UTC+7,1620000,2.3,домашний отдых,нет
Санкт-Петербург,-5,-8,92,763,2.0,плотный туман,200.0,,100,-6,-5,27.11.2025 03:15:08,2025-11-27T03:15:08.481072,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-10.6,домашний отдых,нет
Москва,4,2,67,764,2.37,пасмурно,10000.0,,100,2,4,27.11.2025 03:15:08,2025-11-27T03:15:08.481072,Центральный,Круглогодично,UTC+3,12500000,-2.04,домашний отдых,да
Казань,0,-2,99,770,2.25,пасмурно,32.0,,100,0,0,27.11.2025 04:30:02,2025-11-27T04:30:02.917915,Приволжский,Май-Сентябрь,UTC+3,1250000,-10.03,домашний отдых,нет
Казань,1,-1,99,770,1.77,пасмурно,377.0,,100,1,1,27.11.2025 01:52:06,2025-11-27T01:52:06.122279,Приволжский,Май-Сентябрь,UTC+3,1250000,-9.58,домашний отдых,нет
Москва,3,1,87,764,2.66,пасмурно,10000.0,,100,3,4,27.11.2025 05:25:33,2025-11-27T05:25:33.121914,Центральный,Круглогодично,UTC+3,12500000,-6.47,домашний отдых,да
